,Date,Ross,Chandler,BT1,BT2,BT3,BT4,BT5,GR1,GR2,GR3,GR4,GR5,Total,Saury,Blue_Runner,Squid,Mackerel,Herring,Sardine,Mazuri_Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle_Eye,Humbolt_Squid,Temperature,covid,light_training,GroupFeed,Varied_Target,All_GR,All_BT,All_SS,male,female,Day_of_week,Month,Day
10,2017-12-23,,,,,,,,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,0,0,0,0,3.0,,,1.0,2.0,5,12,23
11,2017-12-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,0,0,,1.0,0.0,0.0,1.0,6,12,24
12,2017-12-26,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,0,1,0,1.0,5.0,0.0,0.0,6.0,1,12,26
13,2017-12-28,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,1,0,0.0,3.0,1.0,1.0,3.0,3,12,28
14,2017-12-30,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,0,0,0,1.0,,,1.0,0.0,5,12,30
15,2017-12-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,0,0,0,,1.0,0.0,1.0,0.0,6,12,31
16,2018-01-02,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,0,1,0,8.0,7.0,0.0,9.0,6.0,1,1,2
17,2018-01-04,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,0,1,0,0.0,3.0,0.0,3.0,0.0,3,1,4
18,2018-01-06,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,0,0,0,0,1.0,,,0.0,1.0,5,1,6
19,2018-01-07,0.0,0.0,1.0,2.0,1.0,1.0,1.0,,,,,,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,0,0,0,,6.0,0.0,2.0,4.0,6,1,7
20,2018-01-09,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,1,0,0.0,4.0,0.0,0.0,4.0,1,1,9
21,2018-01-11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,0.0,3.0,0.0,1.0,2.0,3,1,11
22,2018-01-13,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,0,0,0,1.0,,,0.0,1.0,5,1,13
23,2018-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,0,0,,0.0,0.0,0.0,0.0,6,1,14
24,2018-01-16,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,1,0,0.0,8.0,0.0,7.0,1.0,1,1,16
25,2018-01-18,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,2.0,2.0,3.0,5.0,2.0,3,1,18
26,2018-01-20,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,0,0,0,1.0,,,1.0,0.0,5,1,20
27,2018-01-21,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,0,0,0,,3.0,0.0,2.0,1.0,6,1,21
28,2018-01-23,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0,0,1,0,0.0,3.0,2.0,2.0,3.0,1,1,23
29,2018-01-25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,72.6,0,0,1,0,1.0,2.0,0.0,0.0,3.0,3,1,25
30,2018-01-27,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,0,0,1.0,,,0.0,1.0,5,1,27
31,2018-01-28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,0,0,,2.0,0.0,0.0,2.0,6,1,28
32,2018-01-30,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0,0,1,0,0.0,12.0,0.0,10.0,2.0,1,1,30
33,2018-02-01,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,0,1,0,0.0,5.0,1.0,4.0,2.0,3,2,1
34,2018-02-03,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,0,0,0.0,,,0.0,0.0,5,2,3
35,2018-02-04,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,0,0,,2.0,0.0,1.0,1.0,6,2,4
36,2018-02-06,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,0,1,0,0.0,4.0,0.0,2.0,2.0,1,2,6
37,2018-02-08,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,1,0,1.0,4.0,2.0,4.0,3.0,3,2,8
38,2018-02-10,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,0,0,0.0,,,0.0,0.0,5,2,10
39,2018-02-11,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0,0,0,0,,4.0,0.0,1.0,3.0,6,2,11
40,2018-02-13,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,1,0,1.0,4.0,0.0,2.0,3.0,1,2,13
41,2018-02-15,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,1,1,0,4.0,5.0,2.0,4.0,7.0,3,2,15
42,2018-02-17,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,1,0,0,0.0,,,0.0,0.0,5,2,17
43,2018-02-18,1.0,2.0,1.0,0.0,2.0,1.0,0.0,,,,,,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,1,0,0,,4.0,3.0,4.0,3.0,6,2,18
44,2018-02-20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,1,0,1.0,5.0,1.0,3.0,4.0,1,2,20
45,2018-02-22,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,1,1,0,1.0,5.0,0.0,3.0,3.0,3,2,22
46,2018-02-24,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,0,0,1.0,,,1.0,0.0,5,2,24
