,Date,Ross,Chandler,BT1,BT2,BT3,BT4,BT5,GR1,GR2,GR3,GR4,GR5,Total,Saury,Blue_Runner,Squid,Mackerel,Herring,Sardine,Mazuri_Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle_Eye,Humbolt_Squid,Temperature,covid,light_training,GroupFeed,Varied_Target,All_GR,All_BT,All_SS,male,female,Day_of_week,Month,Day
17,2018-01-04,4.0,1.0,2.0,3.0,4.0,6.0,4.0,2.0,0.0,3.0,0.0,2.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,0,0,1,0,7.0,19.0,5.0,13.0,18.0,3,1,4
18,2018-01-06,,,,,,,,3.0,1.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,0,0,0,0,9.0,,,3.0,6.0,5,1,6
19,2018-01-07,7.0,4.0,6.0,2.0,4.0,4.0,3.0,,,,,,30.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,0,0,0,,19.0,11.0,20.0,10.0,6,1,7
20,2018-01-09,1.0,0.0,12.0,2.0,10.0,2.0,3.0,3.0,5.0,5.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,1,0,13.0,29.0,1.0,19.0,24.0,1,1,9
21,2018-01-11,13.0,11.0,2.0,5.0,5.0,7.0,6.0,2.0,1.0,3.0,0.0,0.0,55.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,6.0,25.0,24.0,34.0,21.0,3,1,11
22,2018-01-13,,,,,,,,5.0,0.0,1.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,0,0,0,10.0,,,5.0,5.0,5,1,13
23,2018-01-14,6.0,10.0,4.0,3.0,5.0,4.0,5.0,,,,,,37.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,0,0,,21.0,16.0,25.0,12.0,6,1,14
24,2018-01-16,3.0,7.0,5.0,3.0,3.0,4.0,7.0,4.0,3.0,7.0,1.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,1,0,16.0,22.0,10.0,26.0,22.0,1,1,16
25,2018-01-18,10.0,10.0,4.0,5.0,5.0,6.0,6.0,2.0,5.0,7.0,3.0,0.0,63.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,17.0,26.0,20.0,32.0,31.0,3,1,18
26,2018-01-20,,,,,,,,2.0,2.0,14.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0,0,0,0,20.0,,,2.0,18.0,5,1,20
